2021-10-11 19:33:28.529 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-0} closing ...
2021-10-11 19:33:34.730 [restartedMain] INFO  com.origin.admin.utils.shiro.RedisCacheManager - RedisCacheManager.cacheName:com.origin.admin.utils.shiro.CustomerRealm.authorizationCache
2021-10-11 19:33:34.733 [restartedMain] INFO  com.origin.admin.utils.shiro.RedisCacheManager - RedisCacheManager.cacheName:authenticationCache
2021-10-11 19:33:34.734 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'getRealm' of type [com.origin.admin.utils.shiro.CustomerRealm] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-10-11 19:33:34.862 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'getDefaultWebSecurityManager' of type [org.apache.shiro.web.mgt.DefaultWebSecurityManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-10-11 19:33:34.882 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'authorizationAttributeSourceAdvisor' of type [org.apache.shiro.spring.security.interceptor.AuthorizationAttributeSourceAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-10-11 19:33:34.892 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'eventBus' of type [org.apache.shiro.event.support.DefaultEventBus] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-10-11 19:33:35.185 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8100 (http)
2021-10-11 19:33:35.193 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8100"]
2021-10-11 19:33:35.194 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-10-11 19:33:35.194 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.50]
2021-10-11 19:33:35.250 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-10-11 19:33:35.250 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1523 ms
2021-10-11 19:33:36.175 [restartedMain] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2021-10-11 19:33:36.390 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2021-10-11 19:33:36.950 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8100"]
2021-10-11 19:33:36.972 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8100 (http) with context path ''
2021-10-11 19:33:36.973 [restartedMain] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2021-10-11 19:33:36.984 [restartedMain] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2021-10-11 19:33:37.003 [restartedMain] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2021-10-11 19:33:37.114 [restartedMain] INFO  com.origin.admin.OriginAdminApplication - Started OriginAdminApplication in 3.674 seconds (JVM running for 4.168)
2021-10-11 19:34:03.901 [http-nio-8100-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-10-11 19:34:03.901 [http-nio-8100-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2021-10-11 19:34:03.902 [http-nio-8100-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2021-10-11 19:36:32.531 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-0} closing ...
2021-10-11 19:36:36.380 [restartedMain] INFO  com.origin.admin.OriginAdminApplication - Starting OriginAdminApplication using Java 1.8.0_212 on MrTen.local with PID 57024 (/Users/UserTen/滕雷工作站/AllProjectFile/origin/origin-admin/target/classes started by mrteng in /Users/UserTen/滕雷工作站/AllProjectFile/origin)
2021-10-11 19:36:36.382 [restartedMain] INFO  com.origin.admin.OriginAdminApplication - The following profiles are active: druid
2021-10-11 19:36:36.410 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2021-10-11 19:36:36.411 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2021-10-11 19:36:37.063 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-10-11 19:36:37.064 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-10-11 19:36:37.098 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 14 ms. Found 0 Redis repository interfaces.
2021-10-11 19:36:37.231 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.apache.shiro.spring.boot.autoconfigure.ShiroBeanAutoConfiguration' of type [org.apache.shiro.spring.boot.autoconfigure.ShiroBeanAutoConfiguration$$EnhancerBySpringCGLIB$$f0f4772b] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-10-11 19:36:37.239 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.apache.shiro.spring.boot.autoconfigure.ShiroAnnotationProcessorAutoConfiguration' of type [org.apache.shiro.spring.boot.autoconfigure.ShiroAnnotationProcessorAutoConfiguration$$EnhancerBySpringCGLIB$$f387b5d0] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-10-11 19:36:37.396 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'shiroConfig' of type [com.origin.admin.config.ShiroConfig$$EnhancerBySpringCGLIB$$52ac4e21] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-10-11 19:36:37.423 [restartedMain] INFO  com.origin.admin.utils.shiro.RedisCacheManager - RedisCacheManager.cacheName:com.origin.admin.utils.shiro.CustomerRealm.authorizationCache
2021-10-11 19:36:37.426 [restartedMain] INFO  com.origin.admin.utils.shiro.RedisCacheManager - RedisCacheManager.cacheName:authenticationCache
2021-10-11 19:36:37.426 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'getRealm' of type [com.origin.admin.utils.shiro.CustomerRealm] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-10-11 19:36:37.554 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'getDefaultWebSecurityManager' of type [org.apache.shiro.web.mgt.DefaultWebSecurityManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-10-11 19:36:37.576 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'authorizationAttributeSourceAdvisor' of type [org.apache.shiro.spring.security.interceptor.AuthorizationAttributeSourceAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-10-11 19:36:37.586 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'eventBus' of type [org.apache.shiro.event.support.DefaultEventBus] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-10-11 19:36:37.865 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8100 (http)
2021-10-11 19:36:37.871 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8100"]
2021-10-11 19:36:37.871 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-10-11 19:36:37.871 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.50]
2021-10-11 19:36:37.916 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-10-11 19:36:37.916 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1505 ms
2021-10-11 19:36:38.811 [restartedMain] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2021-10-11 19:36:39.032 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2021-10-11 19:36:39.583 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8100"]
2021-10-11 19:36:39.605 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8100 (http) with context path ''
2021-10-11 19:36:39.606 [restartedMain] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2021-10-11 19:36:39.616 [restartedMain] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2021-10-11 19:36:39.634 [restartedMain] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2021-10-11 19:36:39.747 [restartedMain] INFO  com.origin.admin.OriginAdminApplication - Started OriginAdminApplication in 3.629 seconds (JVM running for 4.13)
2021-10-11 19:37:33.274 [http-nio-8100-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-10-11 19:37:33.274 [http-nio-8100-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2021-10-11 19:37:33.275 [http-nio-8100-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2021-10-11 19:40:58.435 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-0} closing ...
2021-10-11 19:41:02.779 [restartedMain] INFO  com.origin.admin.OriginAdminApplication - Starting OriginAdminApplication using Java 1.8.0_212 on MrTen.local with PID 57066 (/Users/UserTen/滕雷工作站/AllProjectFile/origin/origin-admin/target/classes started by mrteng in /Users/UserTen/滕雷工作站/AllProjectFile/origin)
2021-10-11 19:41:02.781 [restartedMain] INFO  com.origin.admin.OriginAdminApplication - The following profiles are active: druid
2021-10-11 19:41:02.810 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2021-10-11 19:41:02.810 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2021-10-11 19:41:03.463 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-10-11 19:41:03.464 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-10-11 19:41:03.487 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 13 ms. Found 0 Redis repository interfaces.
2021-10-11 19:41:03.621 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.apache.shiro.spring.boot.autoconfigure.ShiroBeanAutoConfiguration' of type [org.apache.shiro.spring.boot.autoconfigure.ShiroBeanAutoConfiguration$$EnhancerBySpringCGLIB$$60bd755] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-10-11 19:41:03.629 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.apache.shiro.spring.boot.autoconfigure.ShiroAnnotationProcessorAutoConfiguration' of type [org.apache.shiro.spring.boot.autoconfigure.ShiroAnnotationProcessorAutoConfiguration$$EnhancerBySpringCGLIB$$89f15fa] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-10-11 19:41:03.784 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'shiroConfig' of type [com.origin.admin.config.ShiroConfig$$EnhancerBySpringCGLIB$$67c3ae4b] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-10-11 19:41:03.812 [restartedMain] INFO  com.origin.admin.utils.shiro.RedisCacheManager - RedisCacheManager.cacheName:com.origin.admin.utils.shiro.CustomerRealm.authorizationCache
2021-10-11 19:41:03.815 [restartedMain] INFO  com.origin.admin.utils.shiro.RedisCacheManager - RedisCacheManager.cacheName:authenticationCache
2021-10-11 19:41:03.816 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'getRealm' of type [com.origin.admin.utils.shiro.CustomerRealm] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-10-11 19:41:03.944 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'getDefaultWebSecurityManager' of type [org.apache.shiro.web.mgt.DefaultWebSecurityManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-10-11 19:41:03.965 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'authorizationAttributeSourceAdvisor' of type [org.apache.shiro.spring.security.interceptor.AuthorizationAttributeSourceAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-10-11 19:41:03.977 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'eventBus' of type [org.apache.shiro.event.support.DefaultEventBus] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-10-11 19:41:04.255 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8100 (http)
2021-10-11 19:41:04.261 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8100"]
2021-10-11 19:41:04.262 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-10-11 19:41:04.262 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.50]
2021-10-11 19:41:04.306 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-10-11 19:41:04.306 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1495 ms
2021-10-11 19:41:05.194 [restartedMain] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2021-10-11 19:41:05.412 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2021-10-11 19:41:05.966 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8100"]
2021-10-11 19:41:05.988 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8100 (http) with context path ''
2021-10-11 19:41:05.988 [restartedMain] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2021-10-11 19:41:05.998 [restartedMain] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2021-10-11 19:41:06.017 [restartedMain] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2021-10-11 19:41:06.130 [restartedMain] INFO  com.origin.admin.OriginAdminApplication - Started OriginAdminApplication in 3.612 seconds (JVM running for 4.109)
2021-10-11 19:41:20.917 [http-nio-8100-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-10-11 19:41:20.918 [http-nio-8100-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2021-10-11 19:41:20.919 [http-nio-8100-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2021-10-11 19:44:06.951 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-0} closing ...
2021-10-11 19:44:11.663 [restartedMain] INFO  com.origin.admin.OriginAdminApplication - Starting OriginAdminApplication using Java 1.8.0_212 on MrTen.local with PID 57104 (/Users/UserTen/滕雷工作站/AllProjectFile/origin/origin-admin/target/classes started by mrteng in /Users/UserTen/滕雷工作站/AllProjectFile/origin)
2021-10-11 19:44:11.664 [restartedMain] INFO  com.origin.admin.OriginAdminApplication - The following profiles are active: druid
2021-10-11 19:44:11.695 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2021-10-11 19:44:11.696 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2021-10-11 19:44:12.358 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-10-11 19:44:12.361 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-10-11 19:44:12.382 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 13 ms. Found 0 Redis repository interfaces.
2021-10-11 19:44:12.516 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.apache.shiro.spring.boot.autoconfigure.ShiroBeanAutoConfiguration' of type [org.apache.shiro.spring.boot.autoconfigure.ShiroBeanAutoConfiguration$$EnhancerBySpringCGLIB$$60bd755] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-10-11 19:44:12.523 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.apache.shiro.spring.boot.autoconfigure.ShiroAnnotationProcessorAutoConfiguration' of type [org.apache.shiro.spring.boot.autoconfigure.ShiroAnnotationProcessorAutoConfiguration$$EnhancerBySpringCGLIB$$89f15fa] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-10-11 19:44:12.680 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'shiroConfig' of type [com.origin.admin.config.ShiroConfig$$EnhancerBySpringCGLIB$$67c3ae4b] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-10-11 19:44:12.706 [restartedMain] INFO  com.origin.admin.utils.shiro.RedisCacheManager - RedisCacheManager.cacheName:com.origin.admin.utils.shiro.CustomerRealm.authorizationCache
2021-10-11 19:44:12.709 [restartedMain] INFO  com.origin.admin.utils.shiro.RedisCacheManager - RedisCacheManager.cacheName:authenticationCache
2021-10-11 19:44:12.709 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'getRealm' of type [com.origin.admin.utils.shiro.CustomerRealm] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-10-11 19:44:12.840 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'getDefaultWebSecurityManager' of type [org.apache.shiro.web.mgt.DefaultWebSecurityManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-10-11 19:44:12.864 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'authorizationAttributeSourceAdvisor' of type [org.apache.shiro.spring.security.interceptor.AuthorizationAttributeSourceAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-10-11 19:44:12.873 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'eventBus' of type [org.apache.shiro.event.support.DefaultEventBus] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-10-11 19:44:13.155 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8100 (http)
2021-10-11 19:44:13.161 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8100"]
2021-10-11 19:44:13.161 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-10-11 19:44:13.161 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.50]
2021-10-11 19:44:13.205 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-10-11 19:44:13.205 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1509 ms
2021-10-11 19:44:14.101 [restartedMain] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2021-10-11 19:44:14.323 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2021-10-11 19:44:14.879 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8100"]
2021-10-11 19:44:14.901 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8100 (http) with context path ''
2021-10-11 19:44:14.902 [restartedMain] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2021-10-11 19:44:14.912 [restartedMain] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
2021-10-11 19:44:14.933 [restartedMain] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2021-10-11 19:44:15.045 [restartedMain] INFO  com.origin.admin.OriginAdminApplication - Started OriginAdminApplication in 3.642 seconds (JVM running for 4.149)
2021-10-11 19:46:01.872 [http-nio-8100-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-10-11 19:46:01.872 [http-nio-8100-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2021-10-11 19:46:01.873 [http-nio-8100-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2021-10-11 19:52:26.894 [http-nio-8100-exec-6] INFO  com.origin.admin.controller.AdminLoginController - 本次验证码为：RLnk, 已存入HttpSession中
2021-10-11 19:53:28.911 [http-nio-8100-exec-9] INFO  com.origin.admin.controller.AdminLoginController - 获取到HttpSession的验证码：RLnk
2021-10-11 19:53:28.973 [http-nio-8100-exec-9] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2021-10-11 19:53:29.049 [http-nio-8100-exec-9] DEBUG c.o.admin.mapper.IAdminUserMapper.findUserName - ==>  Preparing: SELECT au.user_id userId, au.account, au.`password`, au.salt FROM admin_user au WHERE au.account = ?
2021-10-11 19:53:29.064 [http-nio-8100-exec-9] DEBUG c.o.admin.mapper.IAdminUserMapper.findUserName - ==> Parameters: tenglei(String)
2021-10-11 19:53:29.079 [http-nio-8100-exec-9] DEBUG c.o.admin.mapper.IAdminUserMapper.findUserName - <==      Total: 1
2021-10-11 19:53:29.083 [http-nio-8100-exec-9] INFO  com.origin.admin.utils.shiro.RedisCache - 登陆shiro redis cache 参数cacheName:authenticationCache; key：tenglei; value: tenglei
